case_name,model_name,collision,collocation,nh,Time,nb_iter,calc_time
corner,cinematic,2012,implicit_Euler,51,1.6816917117501575,198,13.498000144958496
corner,cinematic,2017,implicit_Euler,51,1.6817327672802944,60,0.5550000667572021
corner,cinematic,2017 penetration,implicit_Euler,51,1.6816943104020594,325,22.813999891281128
corner,cinematic,2023,implicit_Euler,51,6.779707491336036,91,1.488999843597412
corner,dynamic,2012,implicit_Euler,51,0.9662593231864899,80,1.2199997901916504
corner,dynamic,2017,implicit_Euler,51,0.966295688941525,39,0.36699986457824707
corner,dynamic,2017 penetration,implicit_Euler,51,0.9662599616586005,133,1.3409998416900635
corner,dynamic,2023,implicit_Euler,51,1.0087364007513548,171,2.7850000858306885
corner,cinematic,2012,Runge_Kutta,51,1.6964036842637438,372,11.8510000705719
corner,cinematic,2017,Runge_Kutta,51,1.6815642968751676,63,0.9589998722076416
corner,cinematic,2017 penetration,Runge_Kutta,51,1.6815214160946124,335,29.02999997138977
corner,cinematic,2023,Runge_Kutta,51,6.7613538701890965,59,1.1989998817443848
corner,dynamic,2012,Runge_Kutta,51,0.9652607714600453,95,2.3929998874664307
corner,dynamic,2017,Runge_Kutta,51,0.9652975823510408,38,0.6489999294281006
corner,dynamic,2017 penetration,Runge_Kutta,51,0.9652629754905321,156,2.947999954223633
corner,dynamic,2023,Runge_Kutta,51,1.012114347193522,202,5.669000148773193
corner,cinematic,2012,Crank_Nicolson,51,1.681691711750157,190,4.148999929428101
corner,cinematic,2017,Crank_Nicolson,51,1.6817327672802946,102,1.4219999313354492
corner,cinematic,2017 penetration,Crank_Nicolson,51,1.6816943104020592,296,18.171000003814697
corner,cinematic,2023,Crank_Nicolson,51,2.6142780451577377,61,1.1800000667572021
corner,dynamic,2012,Crank_Nicolson,51,0.9662593231864898,68,1.2599999904632568
corner,dynamic,2017,Crank_Nicolson,51,0.9662956889415246,39,0.505000114440918
corner,dynamic,2017 penetration,Crank_Nicolson,51,0.9662599616586002,157,1.937000036239624
corner,dynamic,2023,Crank_Nicolson,51,11.44099417971538,222,3.946000099182129
corner,cinematic,2012,RadauIIA-2,51,1.6816057667353963,177,3.4499998092651367
corner,cinematic,2017,RadauIIA-2,51,1.681648004630149,59,1.4760000705718994
corner,cinematic,2017 penetration,RadauIIA-2,51,1.6816084259420374,283,18.115000009536743
corner,cinematic,2023,RadauIIA-2,51,4.23739374119813,91,1.5970001220703125
corner,dynamic,2012,RadauIIA-2,51,0.9659389003811776,74,1.310999870300293
corner,dynamic,2017,RadauIIA-2,51,0.9659754113996636,49,0.5480000972747803
corner,dynamic,2017 penetration,RadauIIA-2,51,0.9659411043225248,156,2.134000062942505
corner,dynamic,2023,RadauIIA-2,51,1.0095399591492265,155,3.0859999656677246
corner,cinematic,2012,implicit_Euler,101,1.6802333251333008,130,3.928999900817871
corner,cinematic,2017,implicit_Euler,101,1.6802771803106784,162,2.8329999446868896
corner,cinematic,2017 penetration,implicit_Euler,101,1.6802398554150306,511,32.8989999294281
corner,cinematic,2023,implicit_Euler,101,11.289940714218007,113,3.8550000190734863
corner,dynamic,2012,implicit_Euler,101,0.968012324248245,782,30.502000093460083
corner,dynamic,2017,implicit_Euler,101,0.9680492215514486,96,1.7670001983642578
corner,dynamic,2017 penetration,implicit_Euler,101,0.9680136217182814,311,6.544000148773193
corner,dynamic,2023,implicit_Euler,101,1.0992036384334585,1000,35.84499979019165
corner,cinematic,2012,Runge_Kutta,101,1.7903528097702082,727,31.45799994468689
corner,cinematic,2017,Runge_Kutta,101,1.680285370353132,56,2.4159998893737793
corner,cinematic,2017 penetration,Runge_Kutta,101,1.6802451655870758,359,11.003000020980835
corner,cinematic,2023,Runge_Kutta,101,3.5842876306858167,74,3.305999994277954
corner,dynamic,2012,Runge_Kutta,101,0.9675127948255268,229,12.805000066757202
corner,dynamic,2017,Runge_Kutta,101,0.967550263318292,54,2.379000186920166
corner,dynamic,2017 penetration,Runge_Kutta,101,0.9675175714940651,306,12.914999961853027
corner,dynamic,2023,Runge_Kutta,101,1.0178204098558126,449,25.243000030517578
corner,cinematic,2012,Crank_Nicolson,101,1.6802337084162897,100,3.259000062942505
corner,cinematic,2017,Crank_Nicolson,101,1.6802771803106789,52,1.1319999694824219
corner,cinematic,2017 penetration,Crank_Nicolson,101,1.6802398554150302,480,18.66000008583069
corner,cinematic,2023,Crank_Nicolson,101,11.289940714218005,94,8.726999998092651
corner,dynamic,2012,Crank_Nicolson,101,0.9680123242482449,844,40.00600004196167
corner,dynamic,2017,Crank_Nicolson,101,0.9680492215492693,59,1.3960001468658447
corner,dynamic,2017 penetration,Crank_Nicolson,101,0.9680136217182814,324,7.613999843597412
corner,dynamic,2023,Crank_Nicolson,101,23.010441159586573,181,8.872000217437744
corner,cinematic,2012,RadauIIA-2,101,1.6802236796760528,109,3.8299999237060547
corner,cinematic,2017,RadauIIA-2,101,1.680267698018781,75,1.50600004196167
corner,cinematic,2017 penetration,RadauIIA-2,101,1.6802299927044595,491,13.155999898910522
corner,cinematic,2023,RadauIIA-2,101,1.7482344767441926,155,10.115999937057495
corner,dynamic,2012,RadauIIA-2,101,0.9678486780203056,200,10.053999900817871
corner,dynamic,2017,RadauIIA-2,101,0.9678853345174102,66,1.7730000019073486
corner,dynamic,2017 penetration,RadauIIA-2,101,0.96785314772129,300,17.477999925613403
corner,dynamic,2023,RadauIIA-2,101,1.0164706300741273,335,16.8030002117157
S-turn,cinematic,2012,implicit_Euler,51,5.3232429004735655,80,0.7790000438690186
S-turn,cinematic,2017,implicit_Euler,51,5.323447661752171,36,0.2390000820159912
S-turn,cinematic,2017 penetration,implicit_Euler,51,5.32324387782332,115,0.8640000820159912
S-turn,cinematic,2023,implicit_Euler,51,11.570379848739853,458,4.226999998092651
S-turn,dynamic,2012,implicit_Euler,51,2.822986367788078,73,0.7909998893737793
S-turn,dynamic,2017,implicit_Euler,51,2.823082284722565,63,0.4630000591278076
S-turn,dynamic,2017 penetration,implicit_Euler,51,11.402217677710134,173,1.2669999599456787
S-turn,dynamic,2023,implicit_Euler,51,11.747188899151796,166,1.7120001316070557
S-turn,cinematic,2012,Runge_Kutta,51,5.314500005192489,65,1.7719998359680176
S-turn,cinematic,2017,Runge_Kutta,51,5.314709441522096,36,0.7400000095367432
S-turn,cinematic,2017 penetration,Runge_Kutta,51,5.3145009036829185,141,2.072999954223633
S-turn,cinematic,2023,Runge_Kutta,51,5.419896566786901,58,0.8289999961853027
S-turn,dynamic,2012,Runge_Kutta,51,2.817314578158337,62,1.0419998168945312
S-turn,dynamic,2017,Runge_Kutta,51,2.8174101998586094,42,0.6940000057220459
S-turn,dynamic,2017 penetration,Runge_Kutta,51,11.40221776483415,166,3.1639997959136963
S-turn,dynamic,2023,Runge_Kutta,51,11.747188904166126,185,4.434000015258789
S-turn,cinematic,2012,Crank_Nicolson,51,5.323242900473566,79,0.9479999542236328
S-turn,cinematic,2017,Crank_Nicolson,51,5.323447661752172,80,0.5860002040863037
S-turn,cinematic,2017 penetration,Crank_Nicolson,51,5.323243877823297,110,0.9320001602172852
S-turn,cinematic,2023,Crank_Nicolson,51,5.427771076819112,206,2.4820001125335693
S-turn,dynamic,2012,Crank_Nicolson,51,2.822986367788078,71,0.9069998264312744
S-turn,dynamic,2017,Crank_Nicolson,51,2.8230822847225654,44,0.3789999485015869
S-turn,dynamic,2017 penetration,Crank_Nicolson,51,2.822989051228741,132,1.2760000228881836
S-turn,dynamic,2023,Crank_Nicolson,51,11.06422143325452,430,5.713000059127808
S-turn,cinematic,2012,RadauIIA-2,51,5.319032049096197,75,0.8469998836517334
S-turn,cinematic,2017,RadauIIA-2,51,5.319235862232581,34,0.25999999046325684
S-turn,cinematic,2017 penetration,RadauIIA-2,51,5.319035437738129,112,1.0160000324249268
S-turn,cinematic,2023,RadauIIA-2,51,31.99998859850823,163,2.0230000019073486
S-turn,dynamic,2012,RadauIIA-2,51,2.820828305000679,76,0.8929998874664307
S-turn,dynamic,2017,RadauIIA-2,51,2.820924174021597,52,0.5429999828338623
S-turn,dynamic,2017 penetration,RadauIIA-2,51,2.8208310089550004,121,1.2590000629425049
S-turn,dynamic,2023,RadauIIA-2,51,11.747188904166125,274,3.756999969482422
S-turn,cinematic,2012,implicit_Euler,101,5.279068736673594,651,14.664999961853027
S-turn,cinematic,2017,implicit_Euler,101,5.279276123496466,55,0.7799999713897705
